,,Insertion_sort,,Merge_sort
Size,ExecutionTime1,Comparisons1,ExecutionTime2,Comparisons2
250,7625,13966,14541,846
251,6958,16005,13875,834
252,6625,16589,11209,854
253,6541,16035,13166,857
254,6375,14948,12000,865
255,8000,16641,14833,864
256,6542,15768,11709,881
257,8417,17346,15333,871
258,7791,17945,11667,858
259,9916,16657,16958,870
260,6417,15520,11083,891
261,6791,16632,12292,870
262,7417,18851,11667,868
263,7084,17258,12416,907
264,7000,17548,12250,915
265,7250,16791,12291,919
266,7125,17025,11708,927
267,7708,17320,13875,924
268,6916,16675,12708,915
269,8000,17283,15875,924
270,7625,18343,12666,939
271,10708,19025,18000,950
272,7541,18777,12500,936
273,8458,19036,15500,979
274,7208,17977,12416,976
275,8250,19652,13042,972
276,7417,18562,12500,985
277,9042,18101,13500,979
278,7834,20109,12958,965
279,8292,18570,14042,1005
280,7917,19131,13833,994
281,9500,19069,18292,961
282,8542,20763,15417,1007
283,7791,20176,12625,981
284,7833,20085,12708,1016
285,8042,20621,13667,1025
286,8375,20269,12958,1013
287,8125,20335,13417,1032
288,8250,20918,13459,1032
289,9500,21316,17250,1033
290,8000,20184,14375,1042
291,10292,20786,17500,1035
292,9666,21286,17292,1047
293,9584,21024,14708,1047
294,8292,20976,14167,1059
295,9250,22014,17208,1051
296,8916,21780,14000,1072
297,10000,22085,16458,1075
298,8583,21797,13167,1100
299,9250,21862,14584,1056
300,8709,22124,14000,1111
301,9708,22962,16583,1057
302,8833,20903,14042,1100
303,9250,21301,15208,1111
304,8792,22651,13417,1105
305,9209,22705,17375,1082
306,9542,25377,14584,1087
307,9459,22383,15667,1109
308,12333,22130,18041,1151
309,11292,23879,18375,1101
310,10459,22462,16208,1143
311,9792,25703,14458,1096
312,9250,24190,14542,1125
313,9167,23673,15083,1127
314,9709,25428,15250,1140
315,10417,24759,15375,1152
316,9667,25343,15209,1133
317,10667,25916,18042,1144
318,10667,27523,15333,1160
319,9750,25094,16250,1163
320,10708,26426,15583,1159
321,11125,26350,18500,1159
322,9666,24924,15250,1165
323,11583,25432,18584,1171
324,10500,24977,14834,1207
325,12375,26563,18625,1215
326,9834,24155,15584,1199
327,10084,26667,15667,1191
328,10459,27275,14333,1203
329,9958,26277,15583,1212
330,10541,27913,14833,1211
331,10917,28191,15791,1223
332,10708,28364,15584,1223
333,11000,27271,18042,1230
334,10792,27376,17000,1220
335,11750,28209,19000,1271
336,12167,27430,20166,1221
337,13292,29675,20250,1227
338,11000,27207,16125,1279
339,10959,28653,15875,1271
340,10958,26528,18209,1255
341,11792,29413,20875,1269
342,11375,28227,16667,1265
343,10625,28188,15292,1267
344,10416,27764,15500,1294
345,11625,30616,17166,1268
346,11750,30682,17792,1302
347,10750,28469,16500,1304
348,11709,29300,19292,1284
349,11959,30124,16917,1281
350,11375,29002,17250,1299
351,13417,30663,20625,1286
352,11792,28874,16750,1292
353,14750,31201,21125,1339
354,14166,32133,21083,1311
355,13209,32455,17917,1307
356,11958,30931,16416,1314
357,12833,33355,15792,1350
358,12417,31450,16792,1329
359,12167,31299,17459,1343
360,11792,32071,16792,1347
361,13166,34307,18875,1362
362,12791,33726,17625,1359
363,11875,30201,19417,1363
364,12625,34443,16083,1344
365,14000,35903,21083,1327
366,14375,31354,21875,1343
367,13667,34368,19167,1367
368,13000,35273,16792,1379
369,12042,32404,18125,1370
370,13041,35599,17250,1376
371,14250,34068,22125,1379
372,12959,32629,18875,1392
373,13458,35870,16542,1402
374,12792,35097,16458,1428
375,13500,36524,17833,1406
376,12583,34276,16708,1414
377,13459,34687,19333,1400
378,12791,33337,18083,1436
379,13917,36450,21125,1417
380,13458,35962,19167,1408
381,16292,36515,22291,1422
382,13375,36764,18500,1435
383,13708,35727,18042,1435
384,14208,36982,17958,1408
385,14250,37759,18708,1391
386,13917,37717,21291,1440
387,15875,39516,21791,1434
388,13541,37075,17833,1457
389,14875,38047,20125,1442
390,14584,38660,19208,1453
391,17875,40075,23375,1466
392,15250,36406,22875,1470
393,16208,37706,23292,1491
394,13625,37473,18333,1491
395,15250,40433,21166,1493
396,14041,38665,18833,1496
397,15417,40799,22042,1506
398,14834,40419,20167,1503
399,15458,39375,20042,1523
400,15250,38922,20541,1489
401,16042,39900,23500,1527
402,15458,41214,19250,1545
403,14458,37577,22250,1554
404,15375,41231,19458,1528
405,18000,41341,24375,1548
406,21834,42352,25916,1543
407,15666,43174,19500,1575
408,15750,42546,21875,1546
409,17875,43253,22334,1566
410,16125,40709,22375,1597
411,17125,40419,23375,1582
412,16834,42265,20125,1570
413,16209,41888,20167,1599
414,14667,39983,20709,1573
415,17125,44367,22458,1573
416,16541,44217,18875,1597
417,17625,42101,24042,1573
418,16958,43105,23166,1564
419,16625,43320,22333,1590
420,17125,43260,21209,1576
421,17625,46477,34042,1628
422,16208,45397,19500,1651
423,16208,43078,22083,1602
424,16500,45104,20125,1635
425,17375,42658,23667,1617
426,19083,45279,25084,1638
427,17625,46401,22750,1644
428,17166,43669,22833,1657
429,16916,44509,22208,1646
430,20584,45677,30875,1659
431,17459,46425,22375,1675
432,18125,48359,21375,1656
433,25541,46889,28458,1670
434,17459,46600,20833,1678
435,18916,46534,24542,1705
436,24750,48466,25417,1680
437,17834,46574,25625,1715
438,17583,49059,20542,1663
439,18625,48949,24083,1683
440,18667,51788,22250,1708
441,17666,46779,23584,1698
442,17833,49165,20666,1748
443,21125,51026,26125,1682
444,19834,48839,22958,1717
445,17209,46745,21042,1702
446,18083,51269,20708,1707
447,18958,51305,22792,1730
448,19125,48490,25792,1729
449,20166,53775,23625,1735
450,25000,52080,22792,1720
451,20458,54259,23333,1754
452,17500,48128,21208,1763
453,20083,53682,25125,1738
454,18208,51808,22167,1740
455,19375,54658,21959,1758
456,18583,52662,20916,1778
457,18750,51588,23958,1768
458,17584,49308,20792,1770
459,20208,53283,25709,1787
460,19666,52739,24750,1802
461,21291,54569,24042,1760
462,19458,54051,21375,1813
463,19375,54677,22833,1804
464,19291,52811,23291,1810
465,19041,52267,22375,1851
466,19042,54075,21459,1785
467,19292,55246,24250,1819
468,19042,53762,22250,1808
469,20333,56672,25208,1815
470,18667,53121,21542,1824
471,19667,55136,25333,1850
472,19709,55140,22083,1821
473,20709,55109,26709,1836
474,21208,56640,25209,1831
475,19791,57335,22583,1880
476,20542,57743,23709,1832
477,20042,56126,24417,1861
478,19291,54875,22333,1856
479,19791,55001,23458,1860
480,20333,56724,24625,1874
481,28417,53895,31875,1858
482,19542,55107,25458,1864
483,19500,54183,27083,1860
484,20834,60589,23042,1910
485,21458,57060,25834,1899
486,20708,56349,22541,1894
487,23458,58075,28334,1892
488,20291,58177,24083,1886
489,21959,62146,24958,1920
490,21083,59517,24417,1905
491,22125,56520,28000,1905
492,22583,61226,23792,1917
493,20542,58739,22833,1920
494,21375,58484,24541,1936
495,23166,65828,24042,1947
496,22416,63911,23042,1909
497,21458,57965,27167,1923
498,30792,62033,29750,1948
499,22583,60812,25084,1908
500,21833,63049,24916,1935
501,23459,63351,29125,1972
502,21375,61625,24000,1964
503,23292,62612,28542,1958
504,23708,64954,26209,1962
505,22125,61642,25084,1963
506,24500,64007,27333,1951
507,24333,68014,26833,1949
508,22125,64911,23916,1981
509,22375,64562,26125,1985
510,22959,66637,22708,1980
511,22750,64200,24459,1975
512,22209,64647,24417,1982
513,22000,63650,24792,1982
514,22417,63580,24833,1992
515,23166,66382,26750,1996
516,23250,66902,28750,2039
517,24667,66294,28917,1998
518,24166,66684,26333,2034
519,25167,70097,30500,2012
520,24750,69804,28166,2045
521,23834,66021,27709,2065
522,22709,66054,25334,2045
523,23541,68541,25291,2033
524,24167,71430,24250,2040
525,24667,71027,26000,2066
526,23792,70210,26584,2082
527,25084,71616,26583,2091
528,24792,68934,25291,2086
529,26375,71434,31292,2056
530,26666,70474,28916,2067
531,25083,70299,29875,2103
532,25292,71801,28375,2097
533,28042,72887,31292,2124
534,27084,71298,27125,2109
535,31083,73821,28000,2121
536,24875,69959,25667,2143
537,26041,76503,26083,2133
538,24750,71949,25500,2148
539,27916,71281,29000,2129
540,25125,73658,26625,2164
541,25291,72707,28125,2154
542,25792,73386,25750,2158
543,26000,75066,27166,2181
544,25500,74425,26792,2190
545,26334,74970,29416,2170
546,28000,78116,27625,2175
547,26833,75648,29583,2176
548,26083,73931,27334,2200
549,26625,70223,31000,2198
550,27416,76312,28583,2207
551,26375,74381,31291,2225
552,25875,74846,26292,2207
553,29042,75698,31292,2227
554,27416,80632,26083,2228
555,27417,78383,28625,2236
556,28417,74436,42041,2227
557,27333,78147,26875,2262
558,26792,79555,25750,2231
559,27375,81363,26250,2252
560,59334,82738,27209,2269
561,27000,79863,27500,2296
562,27209,80848,27708,2249
563,27125,77829,28833,2274
564,34792,81040,33750,2283
565,26291,75350,27875,2272
566,27416,79898,27458,2290
567,30083,81681,32500,2274
568,28584,79681,31042,2268
569,30417,81776,33916,2347
570,28125,78685,29166,2312
571,26125,76359,29334,2312
572,27500,79415,32000,2366
573,28709,80236,30875,2328
574,27083,79901,28458,2319
575,30208,86130,27625,2333
576,28458,85152,26916,2336
577,28916,84038,29333,2344
578,27917,81909,28625,2338
579,30000,84732,33458,2352
580,32542,88682,34792,2378
581,27167,78308,27833,2335
582,27958,82910,29459,2367
583,30500,85722,32209,2333
584,27916,83165,27375,2368
585,28875,83286,28625,2369
586,28625,85052,27875,2391
587,28042,81324,29458,2405
588,29333,86238,29125,2380
589,29708,85684,30625,2435
590,30209,87410,29708,2410
591,30334,86212,31833,2424
592,29250,86520,28042,2415
593,29708,85527,32709,2419
594,30750,86849,33334,2449
595,28833,85795,29709,2428
596,30333,90596,29125,2425
597,30792,91694,28875,2423
598,28833,85138,29041,2440
599,29500,86302,32042,2489
600,31375,86360,31500,2443
601,31667,90585,33459,2469
602,28291,83596,29583,2496
603,29875,88442,29417,2515
604,33875,94790,32125,2501
605,32125,93543,32792,2520
606,30667,91673,28750,2492
607,32042,93460,29000,2511
608,32083,94353,28708,2507
609,30959,90504,30416,2502
610,31167,92741,28959,2528
611,34875,94638,35875,2507
612,32500,95812,29417,2502
613,32750,94972,33333,2533
614,32333,95931,29708,2557
615,33958,96494,32959,2536
616,32209,96489,29417,2498
617,32708,95121,33667,2564
618,35666,94834,30333,2565
619,34000,98573,32708,2537
620,33625,97386,34500,2589
621,36875,95580,30292,2569
622,33250,99350,30041,2565
623,38417,95226,36708,2535
624,33125,98918,31209,2560
625,32625,95030,34708,2602
626,34500,97239,34167,2592
627,33500,96074,34250,2579
628,33875,101371,30500,2577
629,35625,102678,31958,2581
630,35625,99091,36417,2604
631,34042,99822,30792,2598
632,32958,98883,29666,2588
633,33625,100138,29750,2675
634,33917,101835,30125,2622
635,34250,101787,30708,2627
636,34208,100755,29959,2656
637,35875,101774,36625,2665
638,33958,102299,31084,2642
639,33708,99880,30791,2634
640,34667,102533,31750,2661
641,34833,99857,36333,2640
642,36958,101833,36875,2616
643,37166,100404,33333,2670
