,Mersertion,,Merge
Size,ExecutionTime1,Comparisons1,ExecutionTime2,Comparisons2
6107778,554718417,144220408,574617833,65627424
4736100,483632416,128948192,439630917,49995191
4874135,486817750,130146398,454582083,51658730
9110020,722067375,173852241,856160208,100432196
4368064,464009416,125411358,407167916,45713073
5275189,510523500,137687254,491683625,56130920
6171841,560129083,144661809,576949041,66297155
7540940,635256792,159558275,712899041,82051468
3986984,436997375,122389669,369805583,41451795
8242126,679425500,165244969,776787417,89750635
2251896,341228916,106143146,204705167,22539219
5408800,519742708,138674296,507271125,57759209
1585772,304761792,101038561,142479791,15459065
7123923,610723666,153566167,666339209,77340921
4733117,478063750,128913676,438062792,49955976
7678961,648960417,160460882,723354750,83627348
1343377,292081542,99388364,120192000,12988147
1650349,311010209,101408250,148697917,16181374
2617909,362713791,111106882,237932458,26507611
5978129,547453625,143261756,558668750,64216716
5221617,513002875,137324322,484532833,55501550
603156,251277792,93090508,52438459,5481176
7212421,618067917,154446562,687195584,78300650
9826003,771639458,180796296,940943167,109115419
6045939,553455208,143705698,564881083,64937123
1496457,301381250,100275854,135428041,14577446
7577339,638977041,159729666,713461917,82458148
6646138,589205167,149347312,623103667,71862416
182120,229987500,90648995,14679458,1498924
7435162,629914083,156334028,701907333,80815856
3441263,409756667,117423051,318069125,35565034
9500157,749721166,177681860,892844208,105096358
5522246,523850959,139433757,517569959,59062766
9265253,729167084,175198390,873348542,102310023
5682166,539025250,141038594,548853250,60894064
71878,230116250,90098538,5570709,541321
6193503,570725959,144873207,585215000,66527326
4813840,486164208,129547875,468135625,50951858
2473391,357243875,107878048,225865209,25006410
7455918,627928709,156522793,699291417,81058784
9659138,754489250,179089537,908514291,107107546
133982,225794042,90354865,10623500,1062153
3642051,419013916,118808136,338475958,37715056
5769926,537985625,141547162,538477166,61804771
7903241,655878792,162220276,743845416,86074232
3139684,391993916,115175584,286674792,32115697
3165714,393461125,115304690,296164917,32428778
9036655,726032458,173025391,852756708,99531106
6353424,572693709,147065578,610883792,68301922
8941039,717753583,172302488,841650167,98305722
1537456,303373541,100508777,138476833,14979508
2303467,344507417,106517440,208308500,23120123
106703,224205416,90254150,8262292,834385
5074821,500291041,136478638,470535542,53940873
6295976,570582458,146765131,591900666,67542371
3329599,403673459,116356425,305861959,34341489
9961130,768761959,182190299,946840416,110638465
2769080,372041417,111965340,253538542,28244156
9034565,719367166,173012692,850993042,99500510
7488931,633708083,156821359,704057583,81448775
5908427,544855875,142544994,557866958,63433347
8623526,697535708,168672694,809805334,94336125
6946981,603573083,152092130,650589875,75320207
5821696,546624208,141985315,543322500,62448649
4975081,492477125,131026645,460209041,52780782
9163861,728333292,174284388,860818167,101068695
5385830,521603583,138539372,503344417,57483880
8017106,662572583,163120105,754383000,87359717
3591860,415335583,118367979,330212125,37209048
3440998,409781083,117437716,321865334,35561725
8747679,703952959,169697777,825237083,95940523
2121446,334415250,105063855,192111792,21014063
5367816,516536458,138406238,500989791,57264070
3334860,408203625,116380221,306608583,34397221
1787472,317445959,102307706,160940875,17620161
2311144,344934250,106580764,209775250,23204088
2079246,345767834,104778471,189874125,20549937
3188016,412215208,115400727,293091708,32704936
7378672,627886209,155833997,694805833,80120939
4226873,450043791,124352900,394664083,43935299
2748700,371636375,111858719,252522333,28008188
3149312,392415917,115202996,288682292,32216154
9683550,754014125,179315994,922747083,107384475
3456834,409145333,117455645,317424542,35746512
2767341,371728875,111937169,253149125,28226289
5140730,503340459,136828027,476974833,54658642
631275,255297750,93839214,54869500,5760795
8606729,694934541,168520166,819066166,94129135
765185,269311708,94445167,67246666,7073908
1253493,287625709,99015557,112996792,12057795
7916624,657579333,162287782,744044000,86236370
4059561,441918084,122878685,375689375,42188022
5499870,523464166,139329083,511819292,58792245
3771043,437561167,121003418,350238625,39152139
639640,253283375,93874870,59493666,5839961
5999688,550230750,143375794,561407166,64442947
5404725,519366583,138633301,510219042,57715009
1937748,325073125,103819250,175735625,19168741
3313928,401439834,116251170,305251000,34161169
9737582,757219875,179966194,917824375,108060706
8586237,698589000,168208793,808673875,93857994
5108729,501964666,136675512,476185541,54294694
7234422,618622917,154623826,677715000,78548298
133189,227552208,90359945,10455833,1053992
6998984,604083209,152509836,655558791,75938326
1471009,299552375,100090458,132290500,14319568
3070058,387306875,114133160,281050542,31454070
2493752,354584583,108026171,226795875,25216153
5880109,544542584,142346185,554900542,63121111
9804914,759081000,180629025,941111500,108882436
1646161,309921917,101395825,149130917,16131895
66066,225349792,90079933,4975333,488591
5147531,509706541,136872469,481865125,54731903
9173800,740997292,174320177,861863917,101174988
9606993,760156417,178602728,924460083,106472143
1446308,302293834,99994452,132961083,14054498
1375314,297062791,99522910,125827959,13325746
2211135,341786334,105916554,201212416,22070637
5708403,534002500,141194875,536568083,61176474
9301694,733323042,175540604,874085458,102725040
7884396,653557334,162047781,743482833,85851671
1497327,303518916,100279096,135261042,14586905
2484478,355275000,107973947,226865083,25118112
3062931,388202750,114095217,280589375,31380499
2357865,347979417,106999804,213049000,23685558
2191603,338116750,105822009,203930833,21850360
7724291,658036500,160725840,725598250,84126401
3837625,430371166,121336481,354940125,39872653
431164,242357250,92089939,36785625,3811538
7963170,656571583,162600647,754490166,86757721
2072224,333069458,104723791,187127542,20483565
3166340,391998083,115316507,290080375,32435514
2294880,344525292,106450927,207069834,23018394
6943877,602076875,152102040,650314750,75296611
7652321,648760959,160212357,718506334,83326738
7055766,609408625,152988349,660127750,76571389
4230403,451649375,124377162,392924250,43984607
1959644,325603500,103983417,177693917,19378474
4576347,470576459,127486649,424665917,48184826
2621878,364474625,111091652,237494667,26541751
